"id","personid","pred_inS","pred_inS_alt","pred_inS_drop"
"e_6191","e_6191","0.447859508629659","0.447680950272646","0.447859508629659"
"e_6195","e_6195","0.358610078748724","0.358547475550905","0.358610078748724"
"e_6197","e_6197","0.354468112300645","0.352311600154276","0.354468112300645"
"e_62","e_62","0.42162273939886","0.41865915435065","0.42162273939886"
"e_620","e_620","0.356022421246236","0.355426809824345","0.356022421246236"
"e_6202","e_6202","0.383692735206998","0.382658580034043","0.383692735206998"
"e_6203","e_6203","0.475235558664007","0.477721191429453","0.475235558664007"
"e_6204","e_6204","0.433361289741175","0.437920392787342","0.433361289741175"
"e_6205","e_6205","0.321668497296333","0.321632968184585","0.321668497296333"
"e_6207","e_6207","0.353899970189797","0.355088026813075","0.353899970189797"
"e_6214","e_6214","0.384904321244766","0.384694481121453","0.384904321244766"
"e_6219","e_6219","0.37249905747248","0.374291131054151","0.37249905747248"
"e_6222","e_6222","0.319905286538626","0.320556410735975","0.319905286538626"
"e_6223","e_6223","0.338655125101472","0.339360188056274","0.338655125101472"
"e_6233","e_6233","0.331006601432724","0.334323127833907","0.331006601432724"
"e_6236","e_6236","0.474114075305742","0.471171525393539","0.474114075305742"
"e_6237","e_6237","0.344345717656743","0.348660403570968","0.344345717656743"
"e_6239","e_6239","0.479817145378702","0.48085751270164","0.479817145378702"
"e_6244","e_6244","0.440834026586962","0.441372882567586","0.440834026586962"
"e_6245","e_6245","0.480755394925606","0.479085854415089","0.480755394925606"
"e_6248","e_6248","0.34634646451488","0.345858103501933","0.34634646451488"
"e_625","e_625","0.432129740557448","0.433243334477471","0.432129740557448"
"e_626","e_626","0.350644191459861","0.34449425005883","0.350644191459861"
"e_6260","e_6260","0.44138784080557","0.439595284145399","0.44138784080557"
"e_6266","e_6266","0.397941320092808","0.399687595801403","0.397941320092808"
"e_6275","e_6275","0.347008049250071","0.346130483122279","0.347008049250071"
"e_628","e_628","0.420286045004987","0.417900444635657","0.420286045004987"
"e_6283","e_6283","0.35353834849308","0.351643956330299","0.35353834849308"
"e_6285","e_6285","0.370605972510735","0.37130851295668","0.370605972510735"
"e_629","e_629","0.325902626448585","0.321030768180767","0.325902626448585"
"e_6292","e_6292","0.354731798211579","0.357328092130292","0.354731798211579"
"e_6298","e_6298","0.37303868370257","0.366575181741179","0.37303868370257"
"e_63","e_63","0.465932900928677","0.464432931368469","0.465932900928677"
"e_630","e_630","0.351381695325685","0.349035863726059","0.351381695325685"
"e_6303","e_6303","0.326449260118711","0.322728387379421","0.326449260118711"
"e_6307","e_6307","0.361401977928481","0.358189775970932","0.361401977928481"
"e_631","e_631","0.444412761917053","0.445158001266389","0.444412761917053"
"e_6315","e_6315","0.360071690687445","0.359714759842634","0.360071690687445"
"e_6322","e_6322","0.45284339824493","0.451946846770665","0.45284339824493"
"e_633","e_633","0.416206243523407","0.409290285476261","0.416206243523407"
"e_635","e_635","0.424845757935783","0.420899235425376","0.424845757935783"
